date,gas_usage_kwh,elec_usage_kwh,degree_days_15.5,solar_yield_kwh
15/03/21,37.12,6.44,5.4,0.00
16/03/21,26.37,8.11,5.3,0.00
17/03/21,45.16,6.34,7,0.00
18/03/21,41.06,6.64,6.7,0.00
19/03/21,30.04,10.46,5,0.00
20/03/21,64.15,6.63,5.9,0.00
21/03/21,41.36,7.72,6.8,0.00
22/03/21,33.82,6.09,5.8,0.00
23/03/21,37.22,7.20,5.1,0.00
24/03/21,19.65,5.94,4.8,0.00
25/03/21,29.46,9.28,4.1,0.00
26/03/21,33.63,10.00,6.1,0.00
27/03/21,50.99,10.88,6.3,0.00
28/03/21,51.70,6.82,2.2,0.00
29/03/21,17.41,8.63,1,0.00
30/03/21,20.56,8.90,3.1,0.00
31/03/21,17.35,5.43,1.4,0.00
01/04/21,20.03,6.98,5.5,0.00
02/04/21,38.03,9.50,7.3,0.00
03/04/21,51.03,6.61,6.6,0.00
04/04/21,46.02,7.33,6,0.00
05/04/21,46.58,11.20,8.7,0.00
06/04/21,66.42,7.60,10,0.00
07/04/21,48.29,9.56,9.2,0.00
08/04/21,47.09,6.95,5.7,0.00
09/04/21,39.46,8.69,7,0.00
10/04/21,78.99,8.11,9.8,0.00
11/04/21,44.92,7.27,9.8,0.00
12/04/21,48.83,11.89,8.7,0.00
13/04/21,43.39,6.34,7.9,0.00
14/04/21,41.09,7.25,6.4,0.00
15/04/21,28.82,6.95,6.9,0.00
16/04/21,29.20,10.23,5.9,0.00
17/04/21,33.98,9.09,5.4,0.00
18/04/21,27.87,7.50,4.6,0.00
19/04/21,16.64,6.58,4,0.00
20/04/21,11.54,7.21,3.4,0.00
21/04/21,7.99,7.60,3.9,0.00
22/04/21,18.03,6.96,5.4,0.00
23/04/21,23.59,6.19,3.7,0.00
24/04/21,17.98,6.17,3.3,0.00
25/04/21,17.98,6.17,4.9,0.00
26/04/21,16.19,5.76,5,0.00
27/04/21,11.43,6.42,3.8,0.00
28/04/21,22.25,5.69,5.7,0.00
29/04/21,30.68,7.08,6.8,0.00
30/04/21,37.83,7.30,7.4,0.00
01/05/21,23.68,6.45,6.6,0.00
02/05/21,33.82,3.71,6.4,0.00
03/05/21,36.48,10.39,5.8,0.00
04/05/21,28.20,5.64,6.6,0.00
05/05/21,29.36,6.52,7.1,0.00
06/05/21,24.18,4.87,7.7,0.00
07/05/21,21.35,7.40,5.7,0.00
08/05/21,21.18,6.96,3.9,0.00
09/05/21,11.57,1.78,1.2,0.00
10/05/21,7.42,6.40,1.9,0.00
11/05/21,12.23,6.50,3.6,0.00
12/05/21,12.01,7.28,3.4,0.00
13/05/21,8.95,4.29,2.9,0.00
14/05/21,9.93,4.84,3,0.00
15/05/21,12.17,4.87,3.3,0.00
16/05/21,11.56,5.31,2.9,0.00
17/05/21,6.51,5.37,2.5,0.00
18/05/21,14.47,5.52,2.3,0.00
19/05/21,10.42,4.86,2.7,0.00
20/05/21,13.36,6.56,4,0.00
21/05/21,20.36,6.84,2.8,0.00
22/05/21,25.34,6.42,4.6,0.00
23/05/21,1.74,3.48,4.6,0.00
24/05/21,23.60,5.55,3.9,0.00
25/05/21,29.09,4.99,2.7,0.00
26/05/21,15.26,5.88,2.8,0.00
27/05/21,16.56,4.48,2.1,0.00
28/05/21,8.61,5.93,0.7,0.00
29/05/21,6.39,4.36,0.2,0.00
30/05/21,6.27,6.80,0.8,0.00
31/05/21,2.94,4.39,1.7,0.00
01/06/21,5.36,6.70,0.1,0.00
02/06/21,6.06,7.10,0,0.00
03/06/21,3.24,4.60,0.1,0.00
04/06/21,7.39,5.53,1.3,0.00
05/06/21,3.38,4.81,0.4,0.00
06/06/21,4.24,4.92,0,0.00
07/06/21,6.83,3.63,0.1,0.00
08/06/21,5.72,5.49,0.7,0.00
09/06/21,1.83,7.66,0.1,0.00
10/06/21,6.67,4.15,0,0.00
11/06/21,4.78,5.40,0,0.00
12/06/21,3.42,3.56,0,0.00
13/06/21,6.22,4.93,0,0.00
14/06/21,4.25,6.94,0.1,0.00
15/06/21,7.47,6.00,0.4,0.00
16/06/21,5.02,6.86,0,0.00
17/06/21,2.60,5.76,0,0.00
18/06/21,5.35,4.55,0.1,0.00
19/06/21,3.69,2.97,0.3,0.00
20/06/21,0.92,2.41,0.6,0.00
21/06/21,11.64,7.05,0.7,0.00
22/06/21,4.31,8.32,1.4,0.00
23/06/21,14.71,8.30,1,0.00
24/06/21,8.00,8.02,0,0.00
25/06/21,16.35,10.10,0.9,0.00
26/06/21,11.16,5.17,0.6,0.00
27/06/21,0.08,1.79,0.3,0.00
28/06/21,0.08,1.92,0,0.00
29/06/21,0.08,1.84,0,0.00
30/06/21,0.08,1.86,0,0.00
01/07/21,0.09,1.81,0,0.00
02/07/21,0.09,1.87,0,0.00
03/07/21,9.63,6.03,0,0.00
04/07/21,3.71,9.45,0,0.00
05/07/21,13.45,6.87,0,0.00
06/07/21,10.10,8.80,0,0.00
07/07/21,17.70,10.40,0,0.00
08/07/21,7.39,6.80,0,0.00
09/07/21,20.11,7.09,0,0.00
10/07/21,11.38,7.71,0,0.00
11/07/21,12.22,7.29,0,0.00
12/07/21,12.54,8.20,0,0.00
13/07/21,13.75,5.62,0,0.00
14/07/21,14.47,7.26,0,0.00
15/07/21,8.38,7.21,0,0.00
16/07/21,10.49,5.38,0,0.00
17/07/21,11.93,3.03,0,0.00
18/07/21,2.49,5.47,0,0.00
19/07/21,6.54,7.83,0,0.00
20/07/21,6.70,8.13,0,0.00
21/07/21,9.66,6.46,0,0.00
