"local_time","elec_import_kwh","gas_kwh"
2021-10-01 01:00:00,0.064,NA
2021-10-01 02:00:00,0.537,NA
2021-10-01 03:00:00,0.146,NA
2021-10-01 04:00:00,0.074,NA
2021-10-01 05:00:00,0.085,NA
2021-10-01 06:00:00,0.091,NA
2021-10-01 07:00:00,0.072,NA
2021-10-01 08:00:00,0.116,NA
2021-10-01 09:00:00,0.28,NA
2021-10-01 10:00:00,0.957,NA
2021-10-01 11:00:00,0.193,NA
2021-10-01 12:00:00,0.161,NA
2021-10-01 13:00:00,0.128,NA
2021-10-01 14:00:00,0.237,NA
2021-10-01 15:00:00,0.162,NA
2021-10-01 16:00:00,0.143,NA
2021-10-01 17:00:00,0.152,NA
2021-10-01 18:00:00,0.76,NA
2021-10-01 19:00:00,0.791,NA
2021-10-01 20:00:00,0.267,NA
2021-10-01 21:00:00,0.442,NA
2021-10-01 22:00:00,0.288,NA
2021-10-01 23:00:00,0.365,NA
2021-10-02 00:00:00,0.219,NA
2021-10-02 01:00:00,0.54,NA
2021-10-02 02:00:00,0.628,NA
2021-10-02 03:00:00,0.107,NA
2021-10-02 04:00:00,0.095,NA
2021-10-02 05:00:00,0.094,NA
2021-10-02 06:00:00,0.094,NA
2021-10-02 07:00:00,0.089,NA
2021-10-02 08:00:00,0.102,NA
2021-10-02 09:00:00,0.146,NA
2021-10-02 10:00:00,0.28,NA
2021-10-02 11:00:00,0.097,NA
2021-10-02 12:00:00,0.097,NA
2021-10-02 13:00:00,0.072,NA
2021-10-02 14:00:00,0.098,NA
2021-10-02 15:00:00,0.366,NA
2021-10-02 16:00:00,0.138,NA
2021-10-02 17:00:00,0.197,NA
2021-10-02 18:00:00,0.137,NA
2021-10-02 19:00:00,0.379,NA
2021-10-02 20:00:00,0.217,NA
2021-10-02 21:00:00,0.273,NA
2021-10-02 22:00:00,0.215,NA
2021-10-02 23:00:00,0.186,NA
2021-10-03 00:00:00,0.229,NA
2021-10-03 01:00:00,0.51,NA
2021-10-03 02:00:00,0.605,NA
2021-10-03 03:00:00,0.084,NA
2021-10-03 04:00:00,0.076,NA
2021-10-03 05:00:00,0.082,NA
2021-10-03 06:00:00,0.084,NA
2021-10-03 07:00:00,0.068,NA
2021-10-03 08:00:00,0.101,NA
2021-10-03 09:00:00,0.134,NA
2021-10-03 10:00:00,0.131,NA
2021-10-03 11:00:00,0.862,NA
2021-10-03 12:00:00,0.769,NA
2021-10-03 13:00:00,0.989,NA
2021-10-03 14:00:00,1.195,NA
2021-10-03 15:00:00,0.142,NA
2021-10-03 16:00:00,0.086,NA
2021-10-03 17:00:00,0.186,NA
2021-10-03 18:00:00,0.6,NA
2021-10-03 19:00:00,1.041,NA
2021-10-03 20:00:00,0.347,NA
2021-10-03 21:00:00,0.288,NA
2021-10-03 22:00:00,0.188,NA
2021-10-03 23:00:00,0.204,NA
2021-10-04 00:00:00,0.128,NA
2021-10-04 01:00:00,0.097,NA
2021-10-04 02:00:00,0.128,NA
2021-10-04 03:00:00,0.105,NA
2021-10-04 04:00:00,0.069,NA
2021-10-04 05:00:00,0.089,NA
2021-10-04 06:00:00,0.09,NA
2021-10-04 07:00:00,0.083,NA
2021-10-04 08:00:00,0.111,NA
2021-10-04 09:00:00,0.554,NA
2021-10-04 10:00:00,0.629,NA
2021-10-04 11:00:00,0.21,NA
2021-10-04 12:00:00,0.263,NA
2021-10-04 13:00:00,0.14,NA
2021-10-04 14:00:00,0.259,NA
2021-10-04 15:00:00,0.153,NA
2021-10-04 16:00:00,0.181,NA
2021-10-04 17:00:00,0.166,NA
2021-10-04 18:00:00,0.129,NA
2021-10-04 19:00:00,0.396,NA
2021-10-04 20:00:00,0.174,NA
2021-10-04 21:00:00,0.183,NA
2021-10-04 22:00:00,0.189,NA
2021-10-04 23:00:00,0.155,NA
2021-10-05 00:00:00,0.173,NA
2021-10-05 01:00:00,0.493,NA
2021-10-05 02:00:00,0.637,NA
2021-10-05 03:00:00,0.076,NA
2021-10-05 04:00:00,0.086,NA
2021-10-05 05:00:00,0.083,NA
2021-10-05 06:00:00,0.087,NA
2021-10-05 07:00:00,0.068,NA
2021-10-05 08:00:00,0.133,NA
2021-10-05 09:00:00,0.189,NA
2021-10-05 10:00:00,0.869,NA
2021-10-05 11:00:00,0.199,NA
2021-10-05 12:00:00,0.252,NA
2021-10-05 13:00:00,0.377,NA
2021-10-05 14:00:00,0.155,NA
2021-10-05 15:00:00,0.168,NA
2021-10-05 16:00:00,0.143,NA
2021-10-05 17:00:00,0.168,NA
2021-10-05 18:00:00,0.331,NA
2021-10-05 19:00:00,0.215,NA
2021-10-05 20:00:00,0.322,NA
2021-10-05 21:00:00,0.266,NA
2021-10-05 22:00:00,0.294,NA
2021-10-05 23:00:00,0.172,NA
2021-10-06 00:00:00,0.126,NA
2021-10-06 01:00:00,0.074,NA
2021-10-06 02:00:00,0.082,NA
2021-10-06 03:00:00,0.084,NA
2021-10-06 04:00:00,0.072,NA
2021-10-06 05:00:00,0.088,NA
2021-10-06 06:00:00,0.09,NA
2021-10-06 07:00:00,0.091,NA
2021-10-06 08:00:00,0.126,NA
2021-10-06 09:00:00,0.226,NA
2021-10-06 10:00:00,0.161,NA
2021-10-06 11:00:00,0.161,NA
2021-10-06 12:00:00,0.18,NA
2021-10-06 13:00:00,0.186,NA
2021-10-06 14:00:00,0.583,NA
2021-10-06 15:00:00,0.125,NA
2021-10-06 16:00:00,0.165,NA
2021-10-06 17:00:00,0.24,NA
2021-10-06 18:00:00,0.688,NA
2021-10-06 19:00:00,0.864,NA
2021-10-06 20:00:00,0.686,NA
2021-10-06 21:00:00,0.566,NA
2021-10-06 22:00:00,0.769,NA
2021-10-06 23:00:00,0.205,NA
2021-10-07 00:00:00,0.197,NA
2021-10-07 01:00:00,0.209,NA
2021-10-07 02:00:00,0.107,NA
